Portal,Organization,Wikidata URI,DBpedia URI
data_cityofnewyork_us,Beatriz,http://www.wikidata.org/entity/Q13762856,http://dbpedia.org/resource/Betty_Suarez
data_cityofnewyork_us,Beattix,,
data_cityofnewyork_us,Bebo E MP,,
data_cityofnewyork_us,BebuNet,,
data_cityofnewyork_us,Becca,http://www.wikidata.org/entity/Q2574562,http://dbpedia.org/resource/Cesare_Beccaria
data_cityofnewyork_us,beckswagner,,
data_cityofnewyork_us,Bed Bug Insurance,,
data_cityofnewyork_us,bednarknyc,,
data_cityofnewyork_us,Bekoe1994,,
data_cityofnewyork_us,Bekzod Rahimov,,
data_cityofnewyork_us,Belén Provedo del Pozo,,
data_cityofnewyork_us,Bella,http://www.wikidata.org/entity/Q52533,http://dbpedia.org/resource/Panama_City
data_cityofnewyork_us,belleza605,,
data_cityofnewyork_us,ben,http://www.wikidata.org/entity/Q962,http://dbpedia.org/resource/West_Bengal
data_cityofnewyork_us,Ben,http://www.wikidata.org/entity/Q962,http://dbpedia.org/resource/West_Bengal
data_cityofnewyork_us,ben_b_g,,
data_cityofnewyork_us,BenD,http://www.wikidata.org/entity/Q671288,http://dbpedia.org/resource/Order_of_Saint_Benedict
data_cityofnewyork_us,beneverson,,
data_cityofnewyork_us,Ben Fernandes,,
data_cityofnewyork_us,Ben H Sacks,,
data_cityofnewyork_us,Ben Huff,http://www.wikidata.org/entity/Q19835316,http://dbpedia.org/resource/Ben_Huffman
data_cityofnewyork_us,Benjamin,http://www.wikidata.org/entity/Q4926472,http://dbpedia.org/resource/Benjamin_Franklin
data_cityofnewyork_us,Benjamin Attal,,
data_cityofnewyork_us,Benjamin Ertl,,
data_cityofnewyork_us,Benjamin Henriquez,,
data_cityofnewyork_us,Benjamin J,http://www.wikidata.org/entity/Q193857,http://dbpedia.org/resource/Ben_Jonson
data_cityofnewyork_us,Benjamin Smith,http://www.wikidata.org/entity/Q43144805,http://dbpedia.org/resource/Benjamin_Smith_Barton
data_cityofnewyork_us,Benjamin Toff,http://www.wikidata.org/entity/Q60376181,
data_cityofnewyork_us,BenK91,,
data_cityofnewyork_us,Ben Re,http://www.wikidata.org/entity/Q57085561,http://dbpedia.org/resource/Ben_Reilly
data_cityofnewyork_us,Ben Unsworth,,
data_cityofnewyork_us,Ben Walsh,http://www.wikidata.org/entity/Q50300850,
data_cityofnewyork_us,ben weiland,,
data_cityofnewyork_us,Ben Wellington,http://www.wikidata.org/entity/Q23760188,http://dbpedia.org/resource/Ben_Wellington
data_cityofnewyork_us,Ben yetman,,
data_cityofnewyork_us,benzema,http://www.wikidata.org/entity/Q46750560,http://dbpedia.org/resource/Karim_Benzema
data_cityofnewyork_us,BE Proj,,http://dbpedia.org/resource/Apollo_program
data_cityofnewyork_us,berk,http://www.wikidata.org/entity/Q1489364,"http://dbpedia.org/resource/University_of_California,_Berkeley"
data_cityofnewyork_us,berna erdik,,
data_cityofnewyork_us,BernaErdik,,
data_cityofnewyork_us,Bernard O'Brien,http://www.wikidata.org/entity/Q4893486,http://dbpedia.org/resource/Bernard_O'Brien_(Jesuit)
data_cityofnewyork_us,BeSkooled,,
data_cityofnewyork_us,BetaNYC's BoardStat,,
data_cityofnewyork_us,Beth,http://www.wikidata.org/entity/Q14639649,http://dbpedia.org/resource/Yeshiva
data_cityofnewyork_us,Betsy,http://www.wikidata.org/entity/Q832242,"http://dbpedia.org/resource/Elizabeth,_New_Jersey"
data_cityofnewyork_us,bexp3x,,
data_cityofnewyork_us,bgriffin2015,,
data_cityofnewyork_us,Bharath Sridhar,,
data_cityofnewyork_us,Bhavik,http://www.wikidata.org/entity/Q40849681,http://dbpedia.org/resource/Bhavik_Gandhi
data_cityofnewyork_us,bhavna,http://www.wikidata.org/entity/Q2900668,http://dbpedia.org/resource/Bhavnagar
data_cityofnewyork_us,BHS Marketing LLC,,
data_cityofnewyork_us,bidsUSA,,
data_cityofnewyork_us,bigdata,http://www.wikidata.org/entity/Q20127748,
data_cityofnewyork_us,bigpalooka,,
data_cityofnewyork_us,Big Q Car Service Inc,,
data_cityofnewyork_us,Bijan,http://www.wikidata.org/entity/Q19688290,http://dbpedia.org/resource/Vijayanagara_Empire
data_cityofnewyork_us,Biju Samuel,,
data_cityofnewyork_us,Biko,http://www.wikidata.org/entity/Q2902619,http://dbpedia.org/resource/Bicol_Region
data_cityofnewyork_us,bIL,http://www.wikidata.org/entity/Q598269,http://dbpedia.org/resource/Billboard_(magazine)
data_cityofnewyork_us,Bill,http://www.wikidata.org/entity/Q686822,http://dbpedia.org/resource/Billboard_(magazine)
data_cityofnewyork_us,Bill Irwin,http://www.wikidata.org/entity/Q603317,http://dbpedia.org/resource/Bill_Irwin
data_cityofnewyork_us,billwings2,,
data_cityofnewyork_us,Billy Cole,http://www.wikidata.org/entity/Q15634892,
data_cityofnewyork_us,Billy Rennison,,
data_cityofnewyork_us,BINAYA DHITAL,,
data_cityofnewyork_us,Birkir,http://www.wikidata.org/entity/Q16420946,http://dbpedia.org/resource/Birkirkara_F.C.
data_cityofnewyork_us,bishal,http://www.wikidata.org/entity/Q42397411,http://dbpedia.org/resource/Bishal_Shrestha
data_cityofnewyork_us,bitably,,
data_cityofnewyork_us,bitsy,http://www.wikidata.org/entity/Q19901375,http://dbpedia.org/resource/Alexander_Pichushkin
data_cityofnewyork_us,BJ,http://www.wikidata.org/entity/Q956,http://dbpedia.org/resource/Bergen
data_cityofnewyork_us,Bk,http://www.wikidata.org/entity/Q1882,http://dbpedia.org/resource/Burger_King
data_cityofnewyork_us,BK38CoS estrada,,
data_cityofnewyork_us,bkaufman,,
data_cityofnewyork_us,bkbpdarley,,
data_cityofnewyork_us,bkbuscher,,
data_cityofnewyork_us,bknight,,
data_cityofnewyork_us,bl00000,,
data_cityofnewyork_us,Blaed,http://www.wikidata.org/entity/Q33026837,
data_cityofnewyork_us,Blake Goodman,,
data_cityofnewyork_us,BLS LIMO,,
data_cityofnewyork_us,blucas00000,,
data_cityofnewyork_us,BlueMoonyBalloony,,
data_cityofnewyork_us,BlueOcean,http://www.wikidata.org/entity/Q4928763,http://dbpedia.org/resource/BlueOcean_Energy
data_cityofnewyork_us,blueshirt,http://www.wikidata.org/entity/Q689733,http://dbpedia.org/resource/Blueshirts
data_cityofnewyork_us,bmancell,,
data_cityofnewyork_us,BMG,http://www.wikidata.org/entity/Q770103,http://dbpedia.org/resource/Sony_BMG
data_cityofnewyork_us,bmjetienne,,
data_cityofnewyork_us,bmlData,,
data_cityofnewyork_us,bmwertman,,
data_cityofnewyork_us,bnorman,,
data_cityofnewyork_us,bnott,,
data_cityofnewyork_us,Bnovack,,
data_cityofnewyork_us,BNYP,,
data_cityofnewyork_us,bnyworld,,
data_cityofnewyork_us,bo2b@bobmail.info,,
data_cityofnewyork_us,BoardStat,,
data_cityofnewyork_us,Bob,http://www.wikidata.org/entity/Q2003797,http://dbpedia.org/resource/Bob_Dylan
data_cityofnewyork_us,Bobby,http://www.wikidata.org/entity/Q384593,http://dbpedia.org/resource/Family_Guy
data_cityofnewyork_us,Bobby D,http://www.wikidata.org/entity/Q52447,http://dbpedia.org/resource/Robert_De_Niro
data_cityofnewyork_us,Bob Pesner,,
data_cityofnewyork_us,Bobur,http://www.wikidata.org/entity/Q888907,http://dbpedia.org/resource/Babur
data_cityofnewyork_us,Bogna,http://www.wikidata.org/entity/Q890610,http://dbpedia.org/resource/Bognanco
data_cityofnewyork_us,Bogusz Stefańczyk,,
data_cityofnewyork_us,Bojana,http://www.wikidata.org/entity/Q372490,http://dbpedia.org/resource/Bojana_Jovanovski
data_cityofnewyork_us,Bonnie,http://www.wikidata.org/entity/Q4689423,http://dbpedia.org/resource/Charles_Edward_Stuart
data_cityofnewyork_us,Bonnie Ma,http://www.wikidata.org/entity/Q42305845,http://dbpedia.org/resource/Bonnie_Maxon
data_cityofnewyork_us,Boris Feygis,,
data_cityofnewyork_us,BoroTaxiMeter,,
data_cityofnewyork_us,BOSS® STARS,,
data_cityofnewyork_us,Bowery,http://www.wikidata.org/entity/Q785788,http://dbpedia.org/resource/Bowery
data_cityofnewyork_us,Bozis,http://www.wikidata.org/entity/Q523863,
data_cityofnewyork_us,b_parkin,http://www.wikidata.org/entity/Q47733324,
data_cityofnewyork_us,bpolania,,
data_cityofnewyork_us,Brady Simmons,,
data_cityofnewyork_us,Brandon Davis,http://www.wikidata.org/entity/Q18814091,
data_cityofnewyork_us,Brandon Paillere,,
data_cityofnewyork_us,Brandon Silberstein,,
data_cityofnewyork_us,Braulio,http://www.wikidata.org/entity/Q1120182,http://dbpedia.org/resource/Braulio_of_Zaragoza
data_cityofnewyork_us,Braulio Thillet,,
data_cityofnewyork_us,brcasey,,
data_cityofnewyork_us,brctzcn,,
data_cityofnewyork_us,breana,http://www.wikidata.org/entity/Q55045477,http://dbpedia.org/resource/Brendan
data_cityofnewyork_us,Bren,http://www.wikidata.org/entity/Q636343,http://dbpedia.org/resource/Brentford_F.C.
data_cityofnewyork_us,Brenda,http://www.wikidata.org/entity/Q4732148,http://dbpedia.org/resource/George_Carlin
data_cityofnewyork_us,Brenda Casado,,
data_cityofnewyork_us,Bren McGreen,,
data_cityofnewyork_us,Brennan Moore,,
data_cityofnewyork_us,Brenna Stone,,
data_cityofnewyork_us,Brian,http://www.wikidata.org/entity/Q15930574,http://dbpedia.org/resource/Brian_Eno
data_cityofnewyork_us,Brian Alaimo,,
data_cityofnewyork_us,Briana Vecchione,,
data_cityofnewyork_us,Brian Beltz,,
data_cityofnewyork_us,Brian Craine,,
data_cityofnewyork_us,Brian C Robinson,,
data_cityofnewyork_us,Brian Drysdale,http://www.wikidata.org/entity/Q4963620,
data_cityofnewyork_us,Brian Houser,,
data_cityofnewyork_us,brianjosephpugh,,
data_cityofnewyork_us,Brian Levin,http://www.wikidata.org/entity/Q66309720,http://dbpedia.org/resource/Brian_Levine
data_cityofnewyork_us,Brian Quinn,http://www.wikidata.org/entity/Q53509210,http://dbpedia.org/resource/Brian_Quinn_(soccer)
data_cityofnewyork_us,Brian Sky T,,
data_cityofnewyork_us,Briant,http://www.wikidata.org/entity/Q1613062,http://dbpedia.org/resource/Bryantsev_Youth_Theatre
data_cityofnewyork_us,Brice Powell,,
data_cityofnewyork_us,Bridget Hogan,,
data_cityofnewyork_us,Brittany Kendrick,,
data_cityofnewyork_us,Brittny,http://www.wikidata.org/entity/Q4971674,http://dbpedia.org/resource/Brittny_Gastineau
data_cityofnewyork_us,brmenchl,,
data_cityofnewyork_us,brnstz,,
data_cityofnewyork_us,Brooke,http://www.wikidata.org/entity/Q16860538,http://dbpedia.org/resource/Booker_T._Washington
data_cityofnewyork_us,brookelw,,
data_cityofnewyork_us,Brooke Townsend,,
data_cityofnewyork_us,Brooklyn CB2,,
data_cityofnewyork_us,Brooklyn Community Board Ten,,
data_cityofnewyork_us,brooklynrob,,
data_cityofnewyork_us,Brooklyn Solar,,
data_cityofnewyork_us,bruce40usa,,
data_cityofnewyork_us,Bruce Hansley,,
data_cityofnewyork_us,BruceNY,,
data_cityofnewyork_us,Brucie,http://www.wikidata.org/entity/Q2461823,http://dbpedia.org/resource/Brucepattersonius
data_cityofnewyork_us,brude,http://www.wikidata.org/entity/Q992141,http://dbpedia.org/resource/Bryde's_whale
data_cityofnewyork_us,Bruna J,http://www.wikidata.org/entity/Q61892707,
data_cityofnewyork_us,Bruna Jermann,,
data_cityofnewyork_us,Bryan,http://www.wikidata.org/entity/Q695556,http://dbpedia.org/resource/Brian_Eno
data_cityofnewyork_us,Bryan Callaway,,
data_cityofnewyork_us,Bryan Menegazzo,,
data_cityofnewyork_us,BryantKA,,
data_cityofnewyork_us,bryantlau,,
data_cityofnewyork_us,brymer,http://www.wikidata.org/entity/Q28402818,http://dbpedia.org/resource/Dendrobium_brymerianum
data_cityofnewyork_us,Bsanche,,
data_cityofnewyork_us,BSmith,,
data_cityofnewyork_us,BSquare,http://www.wikidata.org/entity/Q4982028,http://dbpedia.org/resource/Bsquare_corporation
data_cityofnewyork_us,BStraut,,
data_cityofnewyork_us,BTAVMS,,
data_cityofnewyork_us,btheartist,,
data_cityofnewyork_us,btotushek,,
data_cityofnewyork_us,Bubbles N Go Inc.,,
data_cityofnewyork_us,Buildings,http://www.wikidata.org/entity/Q41176,http://dbpedia.org/resource/Contributing_property
data_cityofnewyork_us,Bulent Ermendi,,
data_cityofnewyork_us,Burak Sancakdar,,
data_cityofnewyork_us,burkepf,,
data_cityofnewyork_us,burlesque,http://www.wikidata.org/entity/Q217117,http://dbpedia.org/resource/Burlesque
data_cityofnewyork_us,burose,http://www.wikidata.org/entity/Q1021684,
data_cityofnewyork_us,BurtonLeon,,
data_cityofnewyork_us,Business Integrity Commission,http://www.wikidata.org/entity/Q28186752,
data_cityofnewyork_us,Business Integrity Commission (BIC),,
data_cityofnewyork_us,BXHH,,
data_cityofnewyork_us,bymerej,,
data_cityofnewyork_us,byrnep0,,
data_cityofnewyork_us,C1S,http://www.wikidata.org/entity/Q5156403,http://dbpedia.org/resource/Complement_component_1s
data_cityofnewyork_us,Cabconnect,,
data_cityofnewyork_us,CAC,http://www.wikidata.org/entity/Q70004136,http://dbpedia.org/resource/North_American_P-51_Mustang
data_cityofnewyork_us,caffeine,http://www.wikidata.org/entity/Q60235,http://dbpedia.org/resource/Allergy
data_cityofnewyork_us,caglar,http://www.wikidata.org/entity/Q21502370,http://dbpedia.org/resource/Cagliari_Calcio
data_cityofnewyork_us,Caity Park,,
data_cityofnewyork_us,calin nucuta,,
data_cityofnewyork_us,Calpurnyia Roberts,,
data_cityofnewyork_us,Cameron Emerson,,
data_cityofnewyork_us,Cameron LeBlanc,,
data_cityofnewyork_us,Canarsie,http://www.wikidata.org/entity/Q5031191,http://dbpedia.org/resource/BMT_Canarsie_Line
data_cityofnewyork_us,Capasso,http://www.wikidata.org/entity/Q37555637,
data_cityofnewyork_us,caracancelmointern,,
data_cityofnewyork_us,Cardoi,http://www.wikidata.org/entity/Q65099223,http://dbpedia.org/resource/Cardioid
data_cityofnewyork_us,carinamc,,
data_cityofnewyork_us,CariSilb,,
data_cityofnewyork_us,Carlos Lopez,http://www.wikidata.org/entity/Q364074,http://dbpedia.org/resource/Tarzán_López
data_cityofnewyork_us,Carlos Morillo,http://www.wikidata.org/entity/Q59785214,
data_cityofnewyork_us,Carlos Ramirez,http://www.wikidata.org/entity/Q24005351,http://dbpedia.org/resource/Carlos_Ramírez
data_cityofnewyork_us,Carlos Serrano,http://www.wikidata.org/entity/Q16302709,http://dbpedia.org/resource/Carlos_Serrano
data_cityofnewyork_us,carly,http://www.wikidata.org/entity/Q1030272,http://dbpedia.org/resource/Thomas_Carlyle
data_cityofnewyork_us,carol,http://www.wikidata.org/entity/Q503354,http://dbpedia.org/resource/Charles_I_of_England
data_cityofnewyork_us,Carol,http://www.wikidata.org/entity/Q503354,http://dbpedia.org/resource/Charles_I_of_England
data_cityofnewyork_us,Caroline,http://www.wikidata.org/entity/Q16275172,http://dbpedia.org/resource/Charles_I_of_England
data_cityofnewyork_us,Caroline Carney,http://www.wikidata.org/entity/Q64934754,
data_cityofnewyork_us,Caroline  Carney,,
data_cityofnewyork_us,carrie,http://www.wikidata.org/entity/Q162672,http://dbpedia.org/resource/Airline
data_cityofnewyork_us,Carson Farmer,http://www.wikidata.org/entity/Q58339321,
data_cityofnewyork_us,CarynKunowski,,
data_cityofnewyork_us,Case E. Wyse,,
data_cityofnewyork_us,Casey Adams,http://www.wikidata.org/entity/Q6795239,http://dbpedia.org/resource/Max_Showalter
data_cityofnewyork_us,cashrazx,,
data_cityofnewyork_us,Cassandra Kinyon,,
data_cityofnewyork_us,Cassandra Pierre-Louis,,
data_cityofnewyork_us,Cathy Kaufman,,
data_cityofnewyork_us,cb,http://www.wikidata.org/entity/Q1046,http://dbpedia.org/resource/Order_of_the_British_Empire
data_cityofnewyork_us,CB 10 SC Data Scholar,,
data_cityofnewyork_us,CB5Bronx,,
data_cityofnewyork_us,CB6,http://www.wikidata.org/entity/Q30665021,http://dbpedia.org/resource/CB_postcode_area
data_cityofnewyork_us,CB7maps,,
data_cityofnewyork_us,cb9inator,,
data_cityofnewyork_us,CBLOOMS,,
data_cityofnewyork_us,cbs,http://www.wikidata.org/entity/Q43380,http://dbpedia.org/resource/CBS
data_cityofnewyork_us,CBV,http://www.wikidata.org/entity/Q5159864,http://dbpedia.org/resource/CBMT-DT
data_cityofnewyork_us,CC,http://www.wikidata.org/entity/Q149757,http://dbpedia.org/resource/Order_of_Canada
data_cityofnewyork_us,CC Chiang,,
data_cityofnewyork_us,ccg263,,
data_cityofnewyork_us,CClarke,,
data_cityofnewyork_us,ccs,http://www.wikidata.org/entity/Q1254390,http://dbpedia.org/resource/Carbon_capture_and_storage
data_cityofnewyork_us,CDC User3,,
data_cityofnewyork_us,ceceliasong,,
data_cityofnewyork_us,Cecilia,http://www.wikidata.org/entity/Q859234,http://dbpedia.org/resource/House_of_Gonzaga
data_cityofnewyork_us,Cecilia Wong,http://www.wikidata.org/entity/Q8968140,
data_cityofnewyork_us,Cedeno,http://www.wikidata.org/entity/Q28856985,http://dbpedia.org/resource/Cedeño_Municipality
data_cityofnewyork_us,cedudley,,
data_cityofnewyork_us,Cenk D,http://www.wikidata.org/entity/Q6090186,
data_cityofnewyork_us,Ceraso Michael,,
data_cityofnewyork_us,cerealnumba,,
data_cityofnewyork_us,cesar,http://www.wikidata.org/entity/Q19967805,http://dbpedia.org/resource/Caesars_Palace
data_cityofnewyork_us,Cesar Calderon,http://www.wikidata.org/entity/Q55950021,
data_cityofnewyork_us,C. E. Smith,,
data_cityofnewyork_us,cestl85,,
data_cityofnewyork_us,CfeM,http://www.wikidata.org/entity/Q62767312,http://dbpedia.org/resource/CFEM-DT
data_cityofnewyork_us,cfrantz,,
data_cityofnewyork_us,Cgallic,,
data_cityofnewyork_us,cgrapel,,
data_cityofnewyork_us,CGTONN,,
data_cityofnewyork_us,C.H.,http://www.wikidata.org/entity/Q441099,http://dbpedia.org/resource/Order_of_the_Companions_of_Honour
data_cityofnewyork_us,chad,http://www.wikidata.org/entity/Q657,http://dbpedia.org/resource/Chad
data_cityofnewyork_us,Chad Bro Chill,,
data_cityofnewyork_us,Chad Rothbart,,
data_cityofnewyork_us,Chai_DS,,
data_cityofnewyork_us,chamkaur dhillon,,
data_cityofnewyork_us,chanbir,,
data_cityofnewyork_us,CHANGPING LIU,,
data_cityofnewyork_us,Chang Yang,http://www.wikidata.org/entity/Q16936749,
data_cityofnewyork_us,Chari,http://www.wikidata.org/entity/Q3107986,http://dbpedia.org/resource/Charitable_organization
data_cityofnewyork_us,Charles,http://www.wikidata.org/entity/Q2958359,"http://dbpedia.org/resource/Charleston,_South_Carolina"
data_cityofnewyork_us,Charles A. Quimby,,
data_cityofnewyork_us,Charles Causey,,
data_cityofnewyork_us,charles.cochran,,
data_cityofnewyork_us,charles eppley,,
data_cityofnewyork_us,Charles Lucas,http://www.wikidata.org/entity/Q5081757,http://dbpedia.org/resource/Charles_Lucas
data_cityofnewyork_us,Charles Sessions,,
data_cityofnewyork_us,Charles Watts,http://www.wikidata.org/entity/Q21091666,http://dbpedia.org/resource/Charles_Whistler
data_cityofnewyork_us,Charley Levy,,
data_cityofnewyork_us,Charlie Schmidt,http://www.wikidata.org/entity/Q64750757,
data_cityofnewyork_us,Charlimar,,
data_cityofnewyork_us,Chaya,http://www.wikidata.org/entity/Q2001007,http://dbpedia.org/resource/Chayanne
data_cityofnewyork_us,CHaz,http://www.wikidata.org/entity/Q1068584,http://dbpedia.org/resource/Khazars
data_cityofnewyork_us,chazzman187,,
data_cityofnewyork_us,CHECKEM77,,
data_cityofnewyork_us,Chelsea Johnson,http://www.wikidata.org/entity/Q257690,http://dbpedia.org/resource/Chelsea_Johnson
data_cityofnewyork_us,chen,http://www.wikidata.org/entity/Q804988,http://dbpedia.org/resource/Chennai
data_cityofnewyork_us,chengchangyu,,
data_cityofnewyork_us,chenj,http://www.wikidata.org/entity/Q39793111,http://dbpedia.org/resource/Chenjerai_Hunzvi
data_cityofnewyork_us,Chenning,,
data_cityofnewyork_us,chen zhenmei,,
data_cityofnewyork_us,Cheryl Brunetti,,
data_cityofnewyork_us,Cheryl T,http://www.wikidata.org/entity/Q212772,http://dbpedia.org/resource/Cheryl_Cole
data_cityofnewyork_us,chewbaccadefense,,
data_cityofnewyork_us,chico,http://www.wikidata.org/entity/Q432152,http://dbpedia.org/resource/Communist_Party_of_China
data_cityofnewyork_us,Chip,http://www.wikidata.org/entity/Q80831,http://dbpedia.org/resource/Integrated_circuit
data_cityofnewyork_us,Chi Tang,http://www.wikidata.org/entity/Q56073517,http://dbpedia.org/resource/Chi-Tang_Ho
data_cityofnewyork_us,chornbach,,
data_cityofnewyork_us,chris,http://www.wikidata.org/entity/Q339346,http://dbpedia.org/resource/Christian
data_cityofnewyork_us,Chris,http://www.wikidata.org/entity/Q339346,http://dbpedia.org/resource/Christian
data_cityofnewyork_us,Chris Berkheimer SouthHills,,
data_cityofnewyork_us,Chris Crawford,http://www.wikidata.org/entity/Q1077142,http://dbpedia.org/resource/Chris_Crawford_(game_designer)
data_cityofnewyork_us,chriseshleman,,
data_cityofnewyork_us,Chris Foye,,
data_cityofnewyork_us,Chris Goranson,,
data_cityofnewyork_us,Chris H,http://www.wikidata.org/entity/Q54314,http://dbpedia.org/resource/Pop_Idol
data_cityofnewyork_us,chrishans,,
data_cityofnewyork_us,Chris Henrick,,
data_cityofnewyork_us,chrishenry,,
data_cityofnewyork_us,Chris Holmes,http://www.wikidata.org/entity/Q1077347,http://dbpedia.org/resource/Chris_Holmes_(musician)
data_cityofnewyork_us,Chris Mcnally,http://www.wikidata.org/entity/Q63206548,http://dbpedia.org/resource/Christopher_McNally
data_cityofnewyork_us,Chris McNally,http://www.wikidata.org/entity/Q63206548,http://dbpedia.org/resource/Christopher_McNally
data_cityofnewyork_us,Chris Metcalf,http://www.wikidata.org/entity/Q61477350,
data_cityofnewyork_us,chrismv48,,
data_cityofnewyork_us,Chris Neale,,
data_cityofnewyork_us,Chris O'Donnell,http://www.wikidata.org/entity/Q107069,http://dbpedia.org/resource/Chris_O'Donnell
data_cityofnewyork_us,Chris Thorpe,http://www.wikidata.org/entity/Q1077810,http://dbpedia.org/resource/Chris_Thorpe
data_cityofnewyork_us,Christian,http://www.wikidata.org/entity/Q106039,http://dbpedia.org/resource/Christian
data_cityofnewyork_us,Christian Van Kipp,,
data_cityofnewyork_us,Christina,http://www.wikidata.org/entity/Q1083457,http://dbpedia.org/resource/Christina_Aguilera
data_cityofnewyork_us,Christina Mieles,,
data_cityofnewyork_us,Christine,http://www.wikidata.org/entity/Q2087646,"http://dbpedia.org/resource/Christina,_Queen_of_Sweden"
data_cityofnewyork_us,Christine Berthet,,
data_cityofnewyork_us,christine.kong789,,
data_cityofnewyork_us,Christopher,http://www.wikidata.org/entity/Q7542,http://dbpedia.org/resource/Christopher_Columbus
data_cityofnewyork_us,Chris Whong,,
data_cityofnewyork_us,Chris Zimmerman,,
data_cityofnewyork_us,Chuck,http://www.wikidata.org/entity/Q2293,http://dbpedia.org/resource/Looney_Tunes
data_cityofnewyork_us,ChurchAve,,
data_cityofnewyork_us,cidrams,,
data_cityofnewyork_us,Cieren,,
data_cityofnewyork_us,cindy,http://www.wikidata.org/entity/Q16275207,http://dbpedia.org/resource/Cyndi_Lauper
data_cityofnewyork_us,Cindy,http://www.wikidata.org/entity/Q16275207,http://dbpedia.org/resource/Cyndi_Lauper
data_cityofnewyork_us,Cindy Lenti Penn,,
data_cityofnewyork_us,Cindy Nicklin,,
data_cityofnewyork_us,cindy_tian,,
data_cityofnewyork_us,Citi Termite Control,,
data_cityofnewyork_us,citizen1,,
data_cityofnewyork_us,citydev2,,
data_cityofnewyork_us,CITYLINE RECORDS,,
data_cityofnewyork_us,CityOn-line.com,,
data_cityofnewyork_us,cityrealty,,
data_cityofnewyork_us,CITYWIDE,http://www.wikidata.org/entity/Q44045605,http://dbpedia.org/resource/Camp_Jackson_Affair
data_cityofnewyork_us,civengterri,,
data_cityofnewyork_us,CivicMediaNewYork,,
data_cityofnewyork_us,cjtamayo,,
data_cityofnewyork_us,CKER,http://www.wikidata.org/entity/Q5012353,http://dbpedia.org/resource/CKER-FM
data_cityofnewyork_us,cl121,,
data_cityofnewyork_us,Claire Buchanan,http://www.wikidata.org/entity/Q21005218,
data_cityofnewyork_us,clairecost,,
data_cityofnewyork_us,clairesnavely,,
data_cityofnewyork_us,Clare,http://www.wikidata.org/entity/Q181862,http://dbpedia.org/resource/Burnley_F.C.
data_cityofnewyork_us,Clareena Macchia,,
data_cityofnewyork_us,Clare Zimmerman,,
data_cityofnewyork_us,Claudio,http://www.wikidata.org/entity/Q214074,http://dbpedia.org/resource/Claudius
data_cityofnewyork_us,Clay Harding,,
data_cityofnewyork_us,Clean Air Car Service,,
data_cityofnewyork_us,cleanfreaknyc,,
data_cityofnewyork_us,Clément Nicolas,http://www.wikidata.org/entity/Q16236859,
data_cityofnewyork_us,cleyvi,,
data_cityofnewyork_us,cli6cli6,,
data_cityofnewyork_us,C Lien,,
data_cityofnewyork_us,Climate Change & Environmental Services,http://www.wikidata.org/entity/Q125928,
data_cityofnewyork_us,Clint Tseng,,
data_cityofnewyork_us,clohret,,
data_cityofnewyork_us,clydefitch,,
data_cityofnewyork_us,Cmaddison23,,
data_cityofnewyork_us,cmarlow,,
data_cityofnewyork_us,Cmarshall,,
data_cityofnewyork_us,Cmcgraw4,,
data_cityofnewyork_us,CMD,http://www.wikidata.org/entity/Q2008856,http://dbpedia.org/resource/Commander_(United_States)
data_cityofnewyork_us,CMISERV,,
data_cityofnewyork_us,cmoisen,,
data_cityofnewyork_us,cmojica1,,
data_cityofnewyork_us,cmydlarz,,
data_cityofnewyork_us,cngonzalez,,
data_cityofnewyork_us,cnjelita,,
data_cityofnewyork_us,coadaptive,http://www.wikidata.org/entity/Q47195280,
data_cityofnewyork_us,Cochrane,http://www.wikidata.org/entity/Q5139428,http://dbpedia.org/resource/Cochrane_Collaboration
data_cityofnewyork_us,Colin,http://www.wikidata.org/entity/Q495635,http://dbpedia.org/resource/Colin_Powell
data_cityofnewyork_us,colingoldberg,,
data_cityofnewyork_us,Colin Wolfgang,,
data_cityofnewyork_us,ColtonIT,,
data_cityofnewyork_us,Colton J Paul,,
data_cityofnewyork_us,Community Board 14,,
data_cityofnewyork_us,Complaints,http://www.wikidata.org/entity/Q16514901,http://dbpedia.org/resource/Cause_of_action
data_cityofnewyork_us,Connor Mix,,
data_cityofnewyork_us,Connor T,http://www.wikidata.org/entity/Q552103,http://dbpedia.org/resource/Connor_Trinneer
data_cityofnewyork_us,Conor Hastings,,
data_cityofnewyork_us,Conradlaw,,
data_cityofnewyork_us,consultmbr,,
data_cityofnewyork_us,Content50,,
data_cityofnewyork_us,conti,http://www.wikidata.org/entity/Q21448867,http://dbpedia.org/resource/Glacier
data_cityofnewyork_us,cookies277,,
data_cityofnewyork_us,Corbin,http://www.wikidata.org/entity/Q2941325,http://dbpedia.org/resource/Corbin_Bleu
data_cityofnewyork_us,coremega2002,,
data_cityofnewyork_us,Corey Dyer,,
data_cityofnewyork_us,Cornelius Dugan,,
data_cityofnewyork_us,Council Member Ben Kallos,,
data_cityofnewyork_us,CourtneyS,http://www.wikidata.org/entity/Q7727862,
data_cityofnewyork_us,Courtney Sanello,,
data_cityofnewyork_us,CP,http://www.wikidata.org/entity/Q210427,http://dbpedia.org/resource/Communist_Party_of_China
data_cityofnewyork_us,cp1667,,
data_cityofnewyork_us,cpbride,,
data_cityofnewyork_us,cpersheff,,
data_cityofnewyork_us,Craig,http://www.wikidata.org/entity/Q2671794,http://dbpedia.org/resource/As_the_World_Turns
