Portal Identifier,Snapshot Identifier,Dataset Identifier,Organization,Wikidata URI (latest),DBpedai URI (latest)
data_opendatasoft_com,1841,english-indices-of-deprivation-2015-bristol@bristol,Bristol City Council,https://www.wikidata.org/entity/Q16953796,http://dbpedia.org/resource/Bristol_City_Council
data_opendatasoft_com,1842,english-indices-of-deprivation-2015-bristol@bristol,Bristol City Council Strategic Intelligence,https://www.wikidata.org/entity/Q16953796,http://dbpedia.org/resource/Bristol_City_Council
data_opendatasoft_com,1849,electricity-prices-in-saudi-arabia0@kapsarc,King Abdullah Petroleum Studies And Research Center,https://www.wikidata.org/entity/Q6411209,http://dbpedia.org/resource/King_Abdullah_Petroleum_Studies_and_Research_Center
data_opendatasoft_com,1841,fr-en-ecoles-colleges-numeriques@dataeducation,Ministère de l'Education nationale,https://www.wikidata.org/entity/Q2572330,http://dbpedia.org/resource/Ministry_of_National_Education_(France)
data_opendatasoft_com,1904,fr-en-ecoles-colleges-numeriques@dataeducation,Ministère de l'Education nationale et de la Jeunesse,https://www.wikidata.org/entity/Q2572330,http://dbpedia.org/resource/Ministry_of_National_Education_(France)
data_opendatasoft_com,1841,gares-et-stations-du-reseau-ferre-dile-de-france-par-ligne@issy-les-moulineaux,STIF,https://www.wikidata.org/entity/Q1747944,http://dbpedia.org/resource/Syndicat_des_transports_d'%C3%8Ele-de-France
data_opendatasoft_com,1851,gares-et-stations-du-reseau-ferre-dile-de-france-par-ligne@issy-les-moulineaux,Ile-de-France Mobilités,https://www.wikidata.org/entity/Q1747944,http://dbpedia.org/resource/Syndicat_des_transports_d'%C3%8Ele-de-France
data_winnipeg_ca,1841,pihc-pzdu,City of Winnipeg,https://www.wikidata.org/entity/Q47489645,http://dbpedia.org/resource/Winnipeg
opendata_socrata_com,1624,4jib-22jf,New York State Senate,https://www.wikidata.org/entity/Q1722258,http://dbpedia.org/resource/New_York_State_Senate
opendata_socrata_com,1841,4jib-22jf,New York State Senate Creative Commons Attribution-Noncommercial-No Derivative Works 3.0 United States License.,https://www.wikidata.org/entity/Q1722258,http://dbpedia.org/resource/New_York_State_Senate
opendata_socrata_com,1841,5bi5-96pf,"U.S. Census Bureau, Population Division",https://www.wikidata.org/entity/Q637413,http://dbpedia.org/resource/United_States_Census_Bureau
opendata_socrata_com,1841,5hzc-6aaf,Starbucks Corporation,https://www.wikidata.org/entity/Q37158,http://dbpedia.org/resource/Starbucks
opendata_socrata_com,1624,6ra6-6qth,AFLCIO Digital,https://www.wikidata.org/entity/Q464271,http://dbpedia.org/resource/AFL%E2%80%93CIO
opendata_socrata_com,1841,6ra6-6qth,AFL-CIO,https://www.wikidata.org/entity/Q464271,http://dbpedia.org/resource/AFL%E2%80%93CIO
opendata_socrata_com,1841,aj8c-iism,The Texas Tribune,https://www.wikidata.org/entity/Q7768599,http://dbpedia.org/resource/The_Texas_Tribune
opendata_socrata_com,1624,cbbw-yurg,Municipalidad Metropolitana de Lima,https://www.wikidata.org/entity/Q12184118,http://dbpedia.org/resource/Metropolitan_Municipality_of_Lima
opendata_socrata_com,1841,cbbw-yurg,Municipalidad Metropolitana de Lima - Gerencia de Administración,https://www.wikidata.org/entity/Q12184118,http://dbpedia.org/resource/Metropolitan_Municipality_of_Lima
opendata_socrata_com,1841,d5e7-tw6n,GitHub,https://www.wikidata.org/entity/Q364,http://dbpedia.org/resource/GitHub
opendata_socrata_com,1624,ewv9-5b9a,U.S. Environmental Protection Agency,https://www.wikidata.org/entity/Q460173,http://dbpedia.org/resource/U.S._Environmental_Protection_Agency
opendata_socrata_com,1841,ewv9-5b9a,Environmental Protection Agency,https://www.wikidata.org/entity/Q460173,http://dbpedia.org/resource/U.S._Environmental_Protection_Agency
opendata_socrata_com,1841,kb7p-x9xi,Virginia Department of Behavioral Health and Developmental Services,https://www.wikidata.org/entity/Q7934242,
opendata_socrata_com,1841,kxif-we5g,Salt Lake Tribune,https://www.wikidata.org/entity/Q1550315,http://dbpedia.org/resource/The_Salt_Lake_Tribune
data_oregon_gov,1841,rq9e-73hy,Oregon Department of Transportation,https://www.wikidata.org/entity/Q4413096,http://dbpedia.org/resource/Oregon_Department_of_Transportation
www_data_vic_gov_au,1624,4a8da365-d2bb-4ff2-bf4c-5a59cdd9a738,"Department of Environment, Land, Water & Planning",https://www.wikidata.org/entity/Q20647143,"http://dbpedia.org/resource/Department_of_Environment,_Land,_Water_and_Planning_(Victoria)"
data_sa_gov_au,1630,d9da742f-4c78-47a3-903e-fda93f2a033c,"Department of Planning, Transport and Infrastructure",https://www.wikidata.org/entity/Q1191384,"http://dbpedia.org/resource/Department_of_Planning,_Transport_and_Infrastructure"
www_data_gouv_fr,1832,558a8508c751df760ba453cb,Direction Départementale des Territoires et de la Mer de la Somme,https://www.wikidata.org/entity/Q56827770,
data_gov_au,1624,8a61a0b7-036c-4c7d-bdf1-511fdbaa3588,Australian Prudential Regulation Authority,https://www.wikidata.org/entity/Q4056088,http://dbpedia.org/resource/Australian_Prudential_Regulation_Authority
data_gov_au,1729,183d6d88-385c-415e-b8b2-7ad74f7ec1c1,Geoscience Australia,https://www.wikidata.org/entity/Q1325925,http://dbpedia.org/resource/Geoscience_Australia
data_edmonton_ca,1840,fbs7-uv7y,City of Edmonton,https://www.wikidata.org/entity/Q2096,http://dbpedia.org/resource/City_of_Edmonton
data_gov_au,1851,fbfe45cc-1421-4448-a499-191cbac6c73e,Office of State Revenue,https://www.wikidata.org/entity/Q7079314,http://dbpedia.org/resource/Office_of_State_Revenue_(New_South_Wales)
data_gov_au,1904,fc5c6adb-eb5b-4def-9f02-e67ecc80e564,"Department of Finance, Services and Innovation",https://www.wikidata.org/entity/Q17004340,http://dbpedia.org/resource/Department_of_Finance_and_Services_(New_South_Wales)
data_gov_au,1624,fc5d93c6-714a-461a-8f61-a80ef5ad1e8f,Department of Agriculture and Water Resources,https://www.wikidata.org/entity/Q4294668,http://dbpedia.org/resource/Department_of_Agriculture_and_Water_Resources
iatiregistry_org,1733,fc680fff-9ad0-4497-831e-9c771f26d547,Action Against Hunger,https://www.wikidata.org/entity/Q343624,http://dbpedia.org/resource/Action_against_Hunger
data_cityofchicago_org,1840,kpej-ig3k,City of Chicago,https://www.wikidata.org/entity/Q1297,http://dbpedia.org/resource/City_of_chicago
data_wa_gov,1915,fbvb-f9ve,Washington State Department of Health,https://www.wikidata.org/entity/Q18394533,http://dbpedia.org/resource/Washington_State_Department_of_Health
data_baltimorecity_gov,1904,kpt7-bahi,Baltimore Police Department,https://www.wikidata.org/entity/Q2881660,http://dbpedia.org/resource/Baltimore_Police_Department
data_qld_gov_au,1624,fc5dd876-5ae3-4b02-8894-c815b53eaedd,"Science, Information Technology and Innovation",https://www.wikidata.org/entity/Q45134373,"http://dbpedia.org/resource/Department_of_Employment,_Economic_Development_and_Innovation"
datahub_io,1702,360c7158-d8e3-42d8-b45f-4bdc44e6dd2c,International Food Policy Research Institute (IFPRI),https://www.wikidata.org/entity/Q1191051,http://dbpedia.org/resource/International_Food_Policy_Research_Institute
data_act_gov_au,1841,3smj-kr3m,Australian Institute of Health and Welfare,https://www.wikidata.org/entity/Q4824305,http://dbpedia.org/resource/Australian_Institute_of_Health_and_Welfare
data_act_gov_au,1841,bj5d-vtpi,Australia Bureau of Statistics,https://www.wikidata.org/entity/Q123347,http://dbpedia.org/resource/Australian_Bureau_of_Statistics
data_act_gov_au,1841,cfpr-4tpw,Transport Canberra and City Services,https://www.wikidata.org/entity/Q4650892,http://dbpedia.org/resource/Transport_Canberra_and_City_Services_Directorate
data_act_gov_au,1841,fx6v-pr8j,ACT Government,https://www.wikidata.org/entity/Q27220504,http://dbpedia.org/resource/Australian_Capital_Territory_Legislative_Assembly
opendata_socrata_com,1624,vjzc-f7dv,VERMONT,https://www.wikidata.org/entity/Q16551,http://dbpedia.org/resource/Vermont
data_act_gov_au,1841,wjk9-amg5,Transport Canberra and City Services - Roads ACT,https://www.wikidata.org/wiki/Q4650892,http://dbpedia.org/resource/Transport_Canberra_and_City_Services_Directorate
opendata_socrata_com,1643,w2qz-db85,Allied Van Lines,https://www.wikidata.org/wiki/Q4732608,http://dbpedia.org/resource/Allied_Van_Lines
data_graz_gv_at,1749,17c172dd-0995-4493-8675-80c59db86694,Stadt Graz,https://www.wikidata.org/wiki/Q13298,http://dbpedia.org/resource/Graz
data_austintexas_gov,1850,3d4a-wzcg,Austin Energy,https://www.wikidata.org/wiki/Q4823071,http://dbpedia.org/resource/Austin_Energy
